Column1,Column2,Open,High,Low ,Close,Volume
25/6/2008,8:00:00 AM,1.9675,1.9746,1.96745,1.9719,88280
25/6/2008,12:00:00 PM,1.9719,1.9733,1.96555,1.96695,173862
25/6/2008,4:00:00 PM,1.967,1.9769,1.96545,1.9757,51125
25/6/2008,8:00:00 PM,1.9757,1.9757,1.97305,1.9737,11277
26/6/2008,12:00:00 AM,1.9737,1.9744,1.9717,1.9734,9118
26/6/2008,4:00:00 AM,1.9734,1.9763,1.97135,1.9743,41146
26/6/2008,8:00:00 AM,1.9744,1.9872,1.97435,1.9861,67758
26/6/2008,12:00:00 PM,1.9861,1.9895,1.98385,1.9871,69817
26/6/2008,4:00:00 PM,1.9871,1.9888,1.9859,1.9878,33426
26/6/2008,8:00:00 PM,1.9878,1.9893,1.98655,1.9873,11295
27/6/2008,12:00:00 AM,1.9873,1.9888,1.98555,1.98585,14617
27/6/2008,4:00:00 AM,1.98585,1.98865,1.9831,1.9837,43812
27/6/2008,8:00:00 AM,1.9837,1.9901,1.9806,1.98825,57495
27/6/2008,12:00:00 PM,1.9883,1.9951,1.98555,1.9936,61797
27/6/2008,4:00:00 PM,1.99355,1.9951,1.99265,1.9944,29450
27/6/2008,8:00:00 PM,1.9945,1.9952,1.9942,1.99475,1871
29/6/2008,8:00:00 PM,1.99438,1.995,1.9924,1.9941,7764
30/6/2008,12:00:00 AM,1.9943,1.99505,1.99232,1.9933,18567
30/6/2008,4:00:00 AM,1.9933,1.9966,1.9926,1.9943,57472
30/6/2008,8:00:00 AM,1.9943,1.9958,1.9896,1.99105,89013
30/6/2008,12:00:00 PM,1.99105,1.9959,1.988,1.9904,81643
30/6/2008,4:00:00 PM,1.99045,1.9938,1.9896,1.99175,34004
30/6/2008,8:00:00 PM,1.99175,1.9935,1.9913,1.9927,10286
1/7/2008,12:00:00 AM,1.99275,1.9931,1.98905,1.9906,14997
1/7/2008,4:00:00 AM,1.9906,1.999,1.98865,1.99865,41914
1/7/2008,8:00:00 AM,1.9987,2.00065,1.995,1.9961,61568
1/7/2008,12:00:00 PM,1.99615,1.9977,1.9905,1.99265,79708
1/7/2008,4:00:00 PM,1.99265,1.99595,1.9926,1.9941,35720
1/7/2008,8:00:00 PM,1.9941,1.99545,1.99384,1.9942,9860
2/7/2008,12:00:00 AM,1.9942,1.9952,1.99285,1.9934,10425
2/7/2008,4:00:00 AM,1.9934,1.9973,1.98925,1.9895,48706
2/7/2008,8:00:00 AM,1.9895,1.9912,1.98445,1.9878,78799
2/7/2008,12:00:00 PM,1.9878,1.99475,1.9873,1.9923,129010
2/7/2008,4:00:00 PM,1.9923,1.9941,1.9917,1.9926,41748
2/7/2008,8:00:00 PM,1.99265,1.9937,1.9918,1.9934,13967
3/7/2008,12:00:00 AM,1.9933,1.9936,1.9889,1.99116,26275
3/7/2008,4:00:00 AM,1.99098,1.9931,1.9887,1.98895,36043
3/7/2008,8:00:00 AM,1.98875,1.9913,1.9839,1.9883,54607
3/7/2008,12:00:00 PM,1.9883,1.9914,1.9809,1.98235,82785
3/7/2008,4:00:00 PM,1.9824,1.9838,1.9799,1.983,23540
3/7/2008,8:00:00 PM,1.9829,1.9836,1.9813,1.983,9465
4/7/2008,12:00:00 AM,1.983,1.9848,1.9828,1.98421,14073
4/7/2008,4:00:00 AM,1.98402,1.9848,1.9805,1.98215,28914
4/7/2008,8:00:00 AM,1.9822,1.98385,1.9795,1.9816,38276
